slope1,slope2,slope3,t1,t2,t3,std_dev,sample_entropy,label
0.660496,2.209247,0.076764,68,148,94,17.074586,0.326614,1
0.47814,-1.267072,0.301094,219,240,74,28.964676,0.066025,1
0.104734,0.202784,0.10438,88,105,172,9.96431,0.070908,0
0.459957,4.139613,0.312779,216,53,213,41.301507,0.411919,1
0.987089,-2.324436,0.791839,104,90,110,20.75166,0.051151,1
2.248672,-3.373008,0.353543,50,114,46,29.425042,0.044746,1
0.421091,-0.693046,4.966251,254,63,138,30.478942,1.556847,0
3.256161,-0.930332,0.561584,45,267,183,27.802692,0.055512,0
0.286982,-0.312554,1.742497,211,20,112,11.79782,0.104211,0
0.63764,1.216722,0.17195,89,168,187,40.736355,0.392448,1
0.630146,-1.512351,0.39662,102,150,52,18.571025,1.336918,0
0.739367,-0.905985,9.272132,158,27,94,21.829401,0.587301,1
11.121276,-3.475399,0.643167,21,210,54,26.644065,1.696981,0
0.427234,-6.961395,2.149847,294,85,64,27.86285,1.672069,1
0.842424,-20.007573,0.396093,99,226,7,29.156096,1.662052,0
0.331941,6.159346,0.733191,158,11,78,19.431404,2.029431,0
0.248968,1.50764,0.092937,91,212,71,7.410605,2.216364,0
2.170539,-3.255808,2.279895,50,114,126,22.290103,0.042654,1
18.916925,-1.544239,132.863515,53,173,221,32.130117,1.647637,0
1.283099,-3.207748,51.495057,147,54,94,42.735796,1.802809,1
0.439739,4.133543,0.190405,84,115,60,14.748827,2.275293,0
0.058941,0.977731,0.276766,265,17,124,9.236548,0.855133,0
0.731738,1.934764,0.318852,97,114,101,39.857504,0.089113,1
0.277304,1.091885,0.290564,94,162,38,14.179296,1.786644,0
0.2917,0.678202,0.090801,53,175,71,11.384221,0.604736,0
0.537004,-1.974278,1.901193,159,80,96,22.464788,0.481311,1
0.691891,-1.923795,0.211219,155,134,56,24.164409,0.094698,1
1.058908,-1.184155,6.815719,197,25,105,31.054141,1.564821,1
1.606269,-2.589699,0.726979,128,106,63,31.206224,1.483966,1
0.814825,-0.153518,0.29518,82,247,258,6.777101,0.17514,0
0.232309,10.221602,0.172234,129,60,128,12.188136,0.900089,0
1.576881,-3.445777,0.470394,86,78,35,26.306454,1.130799,1
0.377777,-2.886213,0.364543,216,56,42,17.797928,0.063347,1
0.232029,0.248688,0.120451,14,359,199,17.09824,0.731881,1
0.096854,0.257219,0.182127,101,120,90,6.917608,0.851164,0
0.09357,0.189813,0.030476,36,216,71,3.652189,0.269246,0
5.402856,-0.366295,2.291216,63,205,255,8.205851,0.849553,0
0.269284,0.324299,0.053602,38,295,213,22.82228,0.087271,0
0.107245,1.682924,0.870473,191,20,29,9.846746,2.176171,0
0.141569,3.029575,1.010116,204,32,77,40.072363,0.077451,1
1.523663,-3.310026,1.066722,92,57,70,28.710199,0.250878,1
0.955178,-14.009276,0.383683,47,193,13,16.884779,1.746182,0
0.289876,0.76422,0.193832,90,210,119,21.201222,0.870828,0
0.503462,48.835859,0.84215,96,96,2,16.816378,1.483875,0
0.751985,-2.381286,1.129499,125,91,101,18.39847,1.336611,1
0.506004,-2.913359,0.847023,223,49,36,21.127557,1.227604,1
0.213348,0.345287,0.081001,47,193,118,9.693309,1.804498,0
0.716753,-7.346722,1.035985,90,151,82,26.975198,1.546565,0
0.684048,-3.591254,0.190335,175,124,72,25.972873,0.05363,1
0.608675,-4.793319,3.801974,213,67,51,37.138806,1.681609,1
0.268571,-0.317746,0.886618,155,19,76,7.611569,0.809461,0
4.2059,-2.453442,0.342173,19,249,65,20.859035,0.64673,0
1.008859,-4.34248,2.271339,122,146,127,33.163468,1.540793,1
0.884918,-0.353967,6.912291,175,143,262,16.450432,0.808703,0
2.019271,-3.116701,2.571054,117,41,64,51.24855,0.856472,1
0.076866,1.268288,0.265181,186,22,81,9.449235,0.139005,0
0.108084,1.015217,0.239848,235,91,118,13.692716,0.971065,0
1.92045,-0.776352,1.260482,132,54,96,23.598632,1.509908,1
0.96873,-2.260369,0.190732,90,142,55,21.577749,0.064364,1
0.302291,-0.730537,0.834306,205,19,69,15.838912,0.110769,1
0.830073,1.692698,0.077192,53,172,94,25.158289,0.09674,1
2.522368,-0.474505,16.07623,120,103,201,20.437997,0.868536,0
0.367713,0.564701,0.050894,30,210,76,10.561665,0.118384,0
1.562277,-0.535638,0.672503,235,18,183,22.281228,0.148395,1
0.12756,-0.461645,1.368459,194,30,62,8.436697,0.148023,0
0.093077,1.079695,0.223508,159,24,84,9.329713,0.093157,0
0.158461,0.217884,0.031219,21,197,68,4.140565,0.266733,0
0.269361,28.686903,2.919259,211,34,3,28.727722,1.818571,0
0.680215,-3.080975,0.45934,94,166,77,27.413441,0.081327,1
1.226999,-2.590331,2.227199,112,97,105,26.585813,1.791759,1
1.267128,-4.118167,0.8237,119,78,29,30.616467,1.876917,1
0.872826,-2.551338,0.391194,153,136,65,27.99984,0.545871,1
1.88495,-0.837755,1.357765,117,145,203,18.635682,1.884541,0
