slope1,slope2,slope3,t1,t2,t3,std_dev,sample_entropy,label
0.239242,0.407069,0.184900,94,198,206,16.130163,1.831247,0
0.489776,-4.002171,1.619807,321,83,70,30.549224,1.578145,1
0.175256,1.070312,0.279214,143,40,80,9.665316,0.726702,0
0.506004,-2.913359,0.847023,223,49,36,21.127557,1.227604,1
0.133786,6.221031,0.061456,91,163,5,5.394972,1.016709,0
1.555213,-5.572846,0.741387,110,103,72,39.327455,0.380950,1
0.138183,0.325716,0.121162,114,128,129,9.009246,0.743773,0
0.093077,1.079695,0.223508,159,24,84,9.329713,0.093157,0
1.262554,-4.745462,1.029921,138,165,71,42.035435,1.522959,1
0.591480,5.093300,0.502196,137,74,98,36.329396,0.404792,1
0.909462,-5.002041,0.298271,104,100,41,23.714406,0.115728,1
0.218852,-0.495837,0.523851,209,20,74,10.723499,0.182174,0
0.644876,-6.287542,0.669404,129,105,38,30.320040,0.401262,1
1.192432,-2.673939,1.108882,107,95,107,25.126771,0.311763,1
0.374645,-0.337181,0.042755,76,242,78,4.751561,0.254471,0
0.195541,2.194402,0.346230,184,51,147,16.466628,1.665229,0
0.012719,0.192480,0.085847,212,29,130,4.457780,0.316569,0
0.948911,41.752069,0.507254,43,176,2,19.379035,1.663614,0
0.549600,58.807252,0.383974,106,248,2,19.814417,1.808109,0
0.377777,-2.886213,0.364543,216,56,42,17.797928,0.063347,1
1.709894,-4.787704,0.468428,57,126,19,39.254320,0.366760,1
0.613679,-2.904747,3.719316,86,79,78,25.081991,0.583535,1
0.232309,10.221602,0.172234,129,60,128,12.188136,0.900089,0
0.706712,8.861076,0.707937,150,60,103,60.885373,0.335490,1
1.249233,-3.018981,0.178751,82,118,42,22.716845,0.109457,1
1.166737,-4.827876,1.188870,149,89,34,39.826259,1.594228,1
0.340551,0.600019,0.104209,32,222,51,9.361490,1.743557,0
0.041255,0.249056,0.035039,136,84,90,2.538172,0.273538,0
0.361894,71.293169,2.662820,196,46,2,24.005445,1.532586,0
0.702630,-3.324638,2.954415,235,22,44,38.666394,1.212856,1
0.673308,-2.341940,0.693379,103,48,41,17.219763,0.368775,1
1.511177,-3.337183,0.118487,77,176,44,22.454490,0.056061,1
0.690162,-0.846005,0.394363,69,209,142,11.583819,0.802290,0
1.792109,-0.832051,1.274360,164,22,124,26.081861,0.037899,1
0.195600,-2.530572,0.176900,223,150,32,12.651394,0.153043,1
0.356951,-4.368396,5.559376,278,21,33,22.227370,0.064263,1
0.327335,1.808134,0.651877,95,179,42,30.509030,0.548573,1
0.217719,-0.444768,2.050843,213,16,77,10.885593,0.902280,0
0.268571,-0.317746,0.886618,155,19,76,7.611569,0.809461,0
0.946973,-2.533154,0.609698,147,130,62,28.036638,1.060196,1
0.770649,-1.223252,0.309070,163,87,68,22.946501,0.446525,1
0.557141,-3.632561,0.794792,188,70,34,23.402011,1.203757,1
0.118744,-2.721216,0.818880,287,92,38,22.246003,0.160429,1
1.108680,-3.547778,2.314510,105,66,82,24.121693,0.261359,1
1.881125,-5.498673,0.593278,51,130,49,38.042657,0.140722,1
0.537004,-1.974278,1.901193,159,80,96,22.464788,0.481311,1
